[2022-05-09T22:46:11.963] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.972] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.974] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.977] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.979] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.982] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.985] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.988] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:11.992] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.007] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.010] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.012] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.017] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.020] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.027] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.029] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.032] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.037] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.039] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.042] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.044] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.046] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.049] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.052] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.055] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.058] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.060] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.062] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.065] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.071] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.073] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.077] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.079] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.081] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.085] [INFO] infoFile - { route: '/info', method: '[GET]' }
[2022-05-09T22:46:12.087] [INFO] infoFile - { route: '/info', method: '[GET]' }
